model,id,original_code,llm_code
o3 (thinking),6,"def query(
    self, resource: str, order=None, where=None, **kwargs
) -> Union[ApiResponse, ApiError, int]:
    """"""Queries API for data from <resource>. See https://www.api.store/czso.cz/dokumentace#section/Query-parametry

    Args:
        resource (str): API resource path as specified in Apitalks documentation

    Keyword Args:
        order (str): order output of returned data of api call.
            e.g `order='""id ASC, nazev DESC""'`. 

        where (str): specify filtering of the returned data of api call.
            e.g. `where='""rok"":{""gt"":2000}'` or `where='""rok=2000,""barva"":""red""'`

        limit (int): add limit to set limit for one page of returned data via api call. Defaults to `max_limit`.

        skip (int): add skip to set number of skipped data entries via api call. Defaults to `default_skip`.
        
    Returns:
        (Union[ApiResponse, ApiError, int])
            * ApiResponse: class instance with attributes of successfull API call

            * ApiError: class instance with attributes of unsuccessfull API call
            
            * int: 1, if some other bad stuff happened

    """"""
    resource = f""{self.base_url}{resource}""
    keys_ = list(kwargs.keys())
    retries = kwargs[""retries""] if ""retries"" in keys_ else 0

    # create always added filters for api request params
    limit_ = str(kwargs[""limit""]) if ""limit"" in keys_ else self.max_limit
    skip_ = str(kwargs[""skip""]) if ""skip"" in keys_ else self.default_skip
    filter_ = """".join([r'{""limit"":', f""{limit_}"", "","", r'""skip"":', f""{skip_}"", ""}""])

    # check and add other filters for api request params
    if order is not None:
        order_param_ = """".join(["","", r'""order"":', ""["", f""{order}"", ""]"", ""}""])
        filter_ = filter_.replace(filter_[-1], order_param_)

    if where is not None:
        where_param_ = """".join(["","", r'""where"":', ""{"", f""{where}"", ""}"", ""}""])
        filter_ = filter_.replace(filter_[-1], where_param_)

    # send api request
    response_ = self.get(
        resource,
        headers={self.api_auth_name: self.api_key},
        params={""filter"": filter_},
    )
    json_ = response_.json()
    json_keys = list(json_.keys())
    print(f""Requested API resource: '{unquote_plus(response_.request.url)}'"")  # type: ignore

    if response_.status_code in [200]:
        print(""Request successful."")

        return ApiResponse(
            resource=resource,
            response=json_,
            data=json_[""data""] if ""data"" in json_keys else None,
            skip=json_[""skip""] if ""skip"" in json_keys else None,
            count=json_[""count""] if ""count"" in json_keys else None,
            limit=json_[""limit""] if ""limit"" in json_keys else None,
            info=json_[""info""] if ""info"" in json_keys else None,
            provider=json_[""info""][""provider""] if ""info"" in json_keys else None,
        )

    if response_.status_code in [400, 403, 404, 409, 429]:
        print(
            f""API returned error. HTTP response status: {response_.status_code}. Returned message: {json_}.""
        )
        return ApiError(
            resource=resource,
            response=json_,
            error=json_[""error""] if ""error"" in json_keys else None,
            status_code=json_[""error""][""statusCode""] if ""error"" in json_keys else None,
            name=json_[""error""][""name""] if ""error"" in json_keys else None,
            message=json_[""error""][""message""] if ""error"" in json_keys else None,
        )

    if response_.status_code in [502, 503, 504]:
        print(
            f""API returned error. HTTP response status: {response_.status_code}. Returned message: {json_}. Retrying...""
        )
        if retries <= 10:
            sleep(retries * 2)
            retries += 1
            return self.query(
                resource,
                retries=retries,
                order=order,
                where=where,
                limit=limit_,
                skip=skip_,
                **kwargs,
            )
        print(f""Retried {retries} times. That is enough."")
        return ApiError(
            resource=resource,
            response=json_,
            error=json_[""error""] if ""error"" in json_keys else None,
            status_code=json_[""error""][""statusCode""] if ""error"" in json_keys else None,
            name=json_[""error""][""name""] if ""error"" in json_keys else None,
            message=json_[""error""][""message""] if ""error"" in json_keys else None,
        )

    return 1","def query(
    self, resource: str, order=None, where=None, **kwargs
) -> Union[ApiResponse, ApiError, int]:
    """"""
    Send a GET request to the API and return a structured wrapper around the
    JSON response.

    The helper automatically builds the required `filter` query‑string (always
    adding pagination via *limit* and *skip*), attaches authentication headers
    and performs automatic retries with exponential back‑off for transient
    gateway errors.

    Parameters
    ----------
    resource : str
        Path of the API resource relative to :pyattr:`self.base_url`.
    order : optional
        Value for the ``order`` filter (e.g. ``""createdAt DESC""``).
    where : optional
        Value for the ``where`` filter expressed in JSON.
    **kwargs
        Arbitrary keyword arguments. Recognised keys are:

        * ``limit`` (int): Maximum number of records to return (defaults to
          :pyattr:`self.max_limit`).
        * ``skip`` (int): Number of records to skip for pagination (defaults
          to :pyattr:`self.default_skip`).
        * ``retries`` (int): Retry counter used internally for back‑off logic.

    Returns
    -------
    ApiResponse
        Wrapper encapsulating the parsed payload when the request succeeds
        (HTTP 200).
    ApiError
        Wrapper encapsulating the error payload for handled error statuses
        (400, 403, 404, 409, 429) or after exhausting retries for 502–504
        gateway errors.
    int
        The literal ``1`` as a generic sentinel when an unexpected status code
        is encountered.

    Notes
    -----
    * Logs the full request URL and status to *stdout* for easier debugging.
    * Sleeps `retries * 2` seconds between retry attempts, up to 10 retries.
    * This method is intended for internal use by the API client.
    """"""
    resource = f""{self.base_url}{resource}""
    keys_ = list(kwargs.keys())
    retries = kwargs[""retries""] if ""retries"" in keys_ else 0

    # create always added filters for api request params
    limit_ = str(kwargs[""limit""]) if ""limit"" in keys_ else self.max_limit
    skip_ = str(kwargs[""skip""]) if ""skip"" in keys_ else self.default_skip
    filter_ = """".join([r'{""limit"":', f""{limit_}"", "","", r'""skip"":', f""{skip_}"", ""}""])

    # check and add other filters for api request params
    if order is not None:
        order_param_ = """".join(["","", r'""order"":', ""["", f""{order}"", ""]"", ""}""])
        filter_ = filter_.replace(filter_[-1], order_param_)

    if where is not None:
        where_param_ = """".join(["","", r'""where"":', ""{"", f""{where}"", ""}"", ""}""])
        filter_ = filter_.replace(filter_[-1], where_param_)

    # send api request
    response_ = self.get(
        resource,
        headers={self.api_auth_name: self.api_key},
        params={""filter"": filter_},
    )
    json_ = response_.json()
    json_keys = list(json_.keys())
    print(f""Requested API resource: '{unquote_plus(response_.request.url)}'"")  # type: ignore

    if response_.status_code in [200]:
        print(""Request successful."")

        return ApiResponse(
            resource=resource,
            response=json_,
            data=json_[""data""] if ""data"" in json_keys else None,
            skip=json_[""skip""] if ""skip"" in json_keys else None,
            count=json_[""count""] if ""count"" in json_keys else None,
            limit=json_[""limit""] if ""limit"" in json_keys else None,
            info=json_[""info""] if ""info"" in json_keys else None,
            provider=json_[""info""][""provider""] if ""info"" in json_keys else None,
        )

    if response_.status_code in [400, 403, 404, 409, 429]:
        print(
            f""API returned error. HTTP response status: {response_.status_code}. Returned message: {json_}.""
        )
        return ApiError(
            resource=resource,
            response=json_,
            error=json_[""error""] if ""error"" in json_keys else None,
            status_code=json_[""error""][""statusCode""] if ""error"" in json_keys else None,
            name=json_[""error""][""name""] if ""error"" in json_keys else None,
            message=json_[""error""][""message""] if ""error"" in json_keys else None,
        )

    if response_.status_code in [502, 503, 504]:
        print(
            f""API returned error. HTTP response status: {response_.status_code}. Returned message: {json_}. Retrying...""
        )
        if retries <= 10:
            sleep(retries * 2)
            retries += 1
            return self.query(
                resource,
                retries=retries,
                order=order,
                where=where,
                limit=limit_,
                skip=skip_,
                **kwargs,
            )
        print(f""Retried {retries} times. That is enough."")
        return ApiError(
            resource=resource,
            response=json_,
            error=json_[""error""] if ""error"" in json_keys else None,
            status_code=json_[""error""][""statusCode""] if ""error"" in json_keys else None,
            name=json_[""error""][""name""] if ""error"" in json_keys else None,
            message=json_[""error""][""message""] if ""error"" in json_keys else None,
        )

    return 1"
o3 (thinking),7,"def parse_positive_integer(s: 'Optional[Union[str, int]]') -> 'Optional[int]':
    """"""Parse a positive integer from a string representation.

    Args:
        s: string representation of a positive integer, or just an integer

    Returns:
        the parsed integer result, return :data:`None` if input is :data:`None` or empty string

    Raises:
        TypeError: if ``s`` is not :obj:`str` or :obj:`int`
        ValueError: if ``s`` is an invalid positive integer value

    """"""
    if s is None or s == '':  # pylint: disable=compare-to-empty-string
        return None
    if not isinstance(s, (str, int)):
        raise TypeError('expect str or int, got {!r}'.format(s))
    try:
        value = int(s)
    except ValueError:
        raise ValueError('expect an integer value, got {!r}'.format(s)) from None
    if value <= 0:
        raise ValueError('expect integer value to be positive, got {!r}'.format(value))
    return value","def parse_positive_integer(s: 'Optional[Union[str, int]]') -> 'Optional[int]':
    """"""Convert *s* to a positive ``int`` or return ``None``.

    The helper accepts either a string representation of an integer (e.g., ``""42""``)
    or an actual integer.  If *s* is ``None`` or an empty string, the function
    returns ``None``—a convenient way to treat “no value” inputs as optional.

    Args:
        s: A string or integer to be validated and converted. ``None`` and the
           empty string ``""""`` are treated as missing values and map to
           ``None``.

    Returns:
        The positive integer value of *s* if the conversion succeeds, otherwise
        ``None`` when *s* is ``None`` or ``""""``.

    Raises:
        TypeError: If *s* is not an ``str`` or ``int`` instance.
        ValueError: If *s* cannot be parsed as an integer, or if the resulting
            integer is not strictly greater than zero.
    """"""
    if s is None or s == """":  # pylint: disable=compare-to-empty-string
        return None
    if not isinstance(s, (str, int)):
        raise TypeError(""expect str or int, got {!r}"".format(s))
    try:
        value = int(s)
    except ValueError:
        raise ValueError(""expect an integer value, got {!r}"".format(s)) from None
    if value <= 0:
        raise ValueError(""expect integer value to be positive, got {!r}"".format(value))
    return value"
o3 (thinking),8,"def parse_boolean_state(s: 'Optional[str]') -> 'Optional[bool]':
    """"""Parse a boolean state from a string representation.

    * These values are regarded as :data:`True`: ``'1'``, ``'yes'``, ``'y'``, ``'true'``, ``'on'``
    * These values are regarded as :data:`False`: ``'0'``, ``'no'``, ``'n'``, ``'false'``, ``'off'``

    Value matching is case **insensitive**.

    Args:
        s: string representation of a boolean state

    Returns:
        the parsed boolean result, return :data:`None` if input is :data:`None`

    Raises:
        ValueError: if ``s`` is an invalid boolean state value

    See Also:
        See :data:`~bpc_utils.argparse._boolean_state_lookup` for default lookup mapping values.

    """"""
    if s is None:
        return None
    try:
        return _boolean_state_lookup[s.lower()]
    except KeyError:
        raise ValueError('invalid boolean state value {!r}'.format(s)) from None","def parse_boolean_state(s: 'Optional[str]') -> 'Optional[bool]':
    """"""Convert a string representation of a boolean state into its logical value.

    The conversion is case‑insensitive and relies on the private mapping
    ``_boolean_state_lookup`` which defines accepted textual representations
    such as ``""true""``, ``""false""``, ``""yes""``, ``""no""``, ``""on""``, and
    ``""off""``. If *s* is *None*, the function returns *None* immediately.

    Parameters
    ----------
    s : str or None
        String to parse. If *None*, no parsing is performed.

    Returns
    -------
    bool or None
        ``True`` or ``False`` based on the lookup, or *None* when *s* is *None*.

    Raises
    ------
    ValueError
        If *s* is not *None* and cannot be resolved to a boolean value.

    Examples
    --------
    >>> parse_boolean_state('YES')
    True
    >>> parse_boolean_state('off')
    False
    >>> parse_boolean_state(None) is None
    True
    >>> parse_boolean_state('maybe')
    Traceback (most recent call last):
        ...
    ValueError: invalid boolean state value 'maybe'
    """"""
    if s is None:
        return None
    try:
        return _boolean_state_lookup[s.lower()]
    except KeyError:
        raise ValueError('invalid boolean state value {!r}'.format(s)) from None"
o3 (thinking),9,"def parse_indentation(s: 'Optional[Union[str, int]]') -> 'Optional[str]':
    r""""""Parse indentation from a string representation.

    * If an integer or a string of positive integer ``n`` is specified, then indentation is ``n`` spaces.
    * If ``'t'`` or ``'tab'`` is specified, then indentation is tab.
    * If ``'\t'``  (the tab character itself) or a string consisting only of the space character (U+0020)
      is specified, it is returned directly.

    Value matching is **case insensitive**.

    Args:
        s: string representation of indentation

    Returns:
        the parsed indentation result, return :data:`None` if input is :data:`None` or empty string

    Raises:
        TypeError: if ``s`` is not :obj:`str` or :obj:`int`
        ValueError: if ``s`` is an invalid indentation value

    """"""
    if s is None or s == '':  # pylint: disable=compare-to-empty-string
        return None
    if not isinstance(s, (str, int)):
        raise TypeError('expect str or int, got {!r}'.format(s))
    if isinstance(s, str):
        if s.lower() in {'t', 'tab', '\t'}:
            return '\t'
        if s == ' ' * len(s):
            return s
    try:
        n = int(s)
        if n <= 0:
            raise ValueError
        return ' ' * n
    except ValueError:
        raise ValueError('invalid indentation value {!r}'.format(s)) from None","from typing import Optional, Union

def parse_indentation(s: 'Optional[Union[str, int]]') -> 'Optional[str]':
    """"""
    Return an indentation string (spaces or a tab) derived from *s*.

    The helper converts several kinds of user-supplied “indentation
    specifiers” into a concrete string that can be prefixed to lines:

    * **None** or an empty string – leave indentation unchanged  
      (the function returns ``None``).  
    * A **positive integer** or a **numeric string** – that number of
      *spaces*.  
    * ``'t'``, ``'tab'`` or ``'\\t'`` (any case) – a single **tab**
      character.  
    * A string made up **only of spaces** – returned unchanged.

    Parameters
    ----------
    s : Optional[Union[str, int]]
        The indentation specifier (see list above).

    Returns
    -------
    Optional[str]
        ``None`` or the indentation string.

    Raises
    ------
    TypeError
        If *s* is not ``str`` or ``int``.
    ValueError
        If *s* is an unsupported or out-of-range specifier (e.g. a
        non-positive number, mixed whitespace, etc.).

    Examples
    --------
    >>> parse_indentation(None) is None
    True
    >>> parse_indentation(4)
    '    '
    >>> parse_indentation(""2"")
    '  '
    >>> parse_indentation(""tab"")
    '\\t'
    >>> parse_indentation(""   "")
    '   '
    """"""
    if s is None or s == '':      # pylint: disable=compare-to-empty-string
        return None
    if not isinstance(s, (str, int)):
        raise TypeError(f""expect str or int, got {s!r}"")
    if isinstance(s, str):
        if s.lower() in {'t', 'tab', '\t'}:
            return '\t'
        if s == ' ' * len(s):      # all-space string
            return s
    try:
        n = int(s)
        if n <= 0:
            raise ValueError
        return ' ' * n
    except ValueError:
        raise ValueError(f""invalid indentation value {s!r}"") from None"
o3 (thinking),10,"def npss(length: int) -> str:
    """"""Generates random string of the given length with at least one ""-"".

    Args:
        length (int): Desired length.

    Returns:
        str: Your new shiny random password.
    """"""
    while True:
        pss = token_urlsafe(length)[:length]
        if ""-"" in pss:
            return pss","from secrets import token_urlsafe

def npss(length: int) -> str:
    """"""Return a random URL-safe string of *length* characters that always
    includes at least one hyphen (``""-""``).

    The function repeatedly calls :pyfunc:`secrets.token_urlsafe`, slicing the
    result to the requested *length*, until the generated string contains a
    hyphen.  This is useful when you need a compact, URL-friendly token that
    still satisfies password or identifier policies requiring a non-alphanumeric
    character.

    Parameters
    ----------
    length : int
        Desired length of the returned string. Must be a positive integer.

    Returns
    -------
    str
        A URL-safe random string of exactly *length* characters that contains
        at least one hyphen.

    Raises
    ------
    ValueError
        If *length* is not a positive integer.

    Examples
    --------
    >>> npss(12)
    'B9q-3kCXe_1a'
    """"""
    if length <= 0:
        raise ValueError(""length must be a positive integer"")

    while True:
        pss = token_urlsafe(length)[:length]
        if ""-"" in pss:
            return pss"
o3 (thinking),11,"def argv_pars(arguments: List[str]) -> int:
    """"""Returns second argv or 30.

    Args:
        argv (List[str]): sys.argv

    Returns:
        int: i >= 1, or 30
    """"""
    try:
        return max(int(arguments[1]), 1)
    except Exception:
        return 30","from typing import List

def argv_pars(arguments: List[str]) -> int:
    """"""Return a positive integer from the second command-line argument.

    This helper expects *arguments* to follow the usual ``sys.argv`` layout,
    where ``arguments[0]`` is the program name and ``arguments[1]`` is the first
    user-supplied value. It attempts to convert ``arguments[1]`` to an
    :class:`int`. If the list is too short or the conversion fails, a default
    value of **30** is returned instead.

    Whatever the outcome, the result is guaranteed to be **at least 1**.

    Parameters
    ----------
    arguments : List[str]
        Command-line arguments (typically ``sys.argv``).

    Returns
    -------
    int
        A positive integer parsed from the command line, or ``30`` on error.
    """"""
    try:
        return max(int(arguments[1]), 1)
    except Exception:
        return 30"
o3 (thinking),12,"def render(metadata: Metadata, spec: SpecInfo, config: Config) -> None:
    """"""
    Render module and stub files for a given Swagger schema.
    :param metadata: Code generation metadata.
    :param spec: SpecInfo representing the schema.
    :param config: Code generation configuration.
    """"""
    template_dirs = []
    if config.custom_templates_dir:
        template_dirs.append(config.custom_templates_dir)
    template_dirs.append(
        pkg_resources.resource_filename(__name__, ""templates/""))
    lookup = TemplateLookup(directories=template_dirs)

    py_template = lookup.get_template(""module.py.mako"")
    with open(config.py_path, ""w"") as f:
        f.write(py_template.render(metadata=metadata, spec=spec,
                                   config=config))

    pyi_template = lookup.get_template(""module.pyi.mako"")
    with open(config.pyi_path, ""w"") as f:
        f.write(pyi_template.render(metadata=metadata, spec=spec,
                                    config=config))

    if config.postprocessor:
        config.postprocessor(config.py_path, config.pyi_path)","def render(metadata: Metadata, spec: SpecInfo, config: Config) -> None:
    """"""Render Python client module and stub files using Mako templates.

    This function generates a concrete implementation module (``.py``) and a
    corresponding type stub file (``.pyi``) from the supplied *metadata* and
    *spec* objects.

    Template discovery order
    ------------------------
    1. ``config.custom_templates_dir`` – if provided, checked first.
    2. The built‑in ``templates`` directory that ships with this package.

    Each template receives three keyword arguments:

    * **metadata** – high‑level API description such as title and version.
    * **spec** – parsed OpenAPI/Swagger specification details.
    * **config** – configuration that controls paths, naming, and post‑processing.

    Parameters
    ----------
    metadata : Metadata
        Dataclass containing high‑level information about the API.
    spec : SpecInfo
        Parsed API specification object.
    config : Config
        Output configuration, including:
          * ``py_path`` – path where the generated ``.py`` file will be written.
          * ``pyi_path`` – path where the generated ``.pyi`` stub will be written.
          * ``custom_templates_dir`` – optional directory to override templates.
          * ``postprocessor`` – optional callback executed after writing files.

    Returns
    -------
    None
        Writes output files to disk and optionally post‑processes them.

    Side Effects
    ------------
    Overwrites existing files at ``config.py_path`` and ``config.pyi_path``.
    If a *postprocessor* callback is configured, it is invoked with both paths
    after the files have been written.
    """"""
    template_dirs = []
    if config.custom_templates_dir:
        template_dirs.append(config.custom_templates_dir)
    template_dirs.append(
        pkg_resources.resource_filename(__name__, ""templates/""))
    lookup = TemplateLookup(directories=template_dirs)

    py_template = lookup.get_template(""module.py.mako"")
    with open(config.py_path, ""w"") as f:
        f.write(py_template.render(metadata=metadata, spec=spec,
                                   config=config))

    pyi_template = lookup.get_template(""module.pyi.mako"")
    with open(config.pyi_path, ""w"") as f:
        f.write(pyi_template.render(metadata=metadata, spec=spec,
                                    config=config))

    if config.postprocessor:
        config.postprocessor(config.py_path, config.pyi_path)"
o3 (thinking),13,"def len_without_ansi(seq: Sequence) -> int:
    """"""Return the character length of the given
    :obj:`Sequence <typing.Sequence>` without counting any ANSI codes.

    *New in version 0.6*

    Args:
         seq (:obj:`Sequence <typing.Sequence>`): A string or a list/tuple
             of strings.

    :rtype:
        :obj:`int`

    Example:
        >>> from flutils.txtutils import len_without_ansi
        >>> text = '\\x1b[38;5;209mfoobar\\x1b[0m'
        >>> len_without_ansi(text)
        6
    """"""
    if hasattr(seq, 'capitalize'):
        _text: str = cast(str, seq)
        seq = [c for c in _ANSI_RE.split(_text) if c]
    seq = [c for c in chain(*map(_ANSI_RE.split, seq)) if c]
    seq = cast(Sequence[str], seq)
    out = 0
    for text in seq:
        if hasattr(text, 'capitalize'):
            if text.startswith('\x1b[') and text.endswith('m'):
                continue
            else:
                out += len(text)
    return out","def len_without_ansi(seq: Sequence) -> int:
    """"""
    Return the length of *printable* characters in a string or sequence of
    strings, ignoring any ANSI escape codes (e.g. “\x1b[31m” for red text).

    The function accepts either:

    * A single string that may contain ANSI colour/style escape sequences, or
    * An arbitrary ``Sequence`` of strings (or nested sequences) that may
      contain ANSI escapes.

    It removes (splits on) the ANSI escape patterns defined by the compiled
    regular expression ``_ANSI_RE`` and counts only the visible characters.

    Parameters
    ----------
    seq : Sequence or str
        The text (or collection of texts) whose printable length is required.

    Returns
    -------
    int
        Number of printable characters **after** all ANSI escape sequences
        have been stripped.

    Examples
    --------
    >>> len_without_ansi(""\\x1b[31mERROR\\x1b[0m"")
    5
    >>> len_without_ansi([""ok"", ""\\x1b[32mdone\\x1b[0m""])
    7
    """"""
    if hasattr(seq, ""capitalize""):  # single string ➜ convert to list
        _text: str = cast(str, seq)
        seq = [c for c in _ANSI_RE.split(_text) if c]

    # Flatten nested sequences and strip ANSI codes
    seq = [c for c in chain(*map(_ANSI_RE.split, seq)) if c]
    seq = cast(Sequence[str], seq)

    out = 0
    for text in seq:
        if hasattr(text, ""capitalize""):
            # skip raw ANSI tokens
            if text.startswith(""\x1b["") and text.endswith(""m""):
                continue
            out += len(text)
    return out"
o3 (thinking),14,"def validate_identifier(
        identifier: Union[str, UserString],
        allow_underscore: bool = True
) -> None:
    """"""Validate the given string is a proper identifier.

    This validator will also raise an error if the given identifier is a
    keyword or a builtin identifier.

    Args:
        identifier (:obj:`str` or :obj:`UserString <collections.UserString>`):
            The value to be tested.
        allow_underscore (:obj:`bool`, optional): A value of :obj:`False`
            will raise an error when the ``identifier`` has a value that starts
            with an underscore ``_``. (Use :obj:`False` when validating
            potential :obj:`namedtuple <collections.namedtuple>` keys)
            Defaults to: :obj:`True`.

    Raises:
        SyntaxError: If the given identifier is invalid.
        TypeError: If the given identifier is not a :obj:`str` or
            :obj:`UserString <collections.UserString>`.

    :rtype: :obj:`None`

    Example:
        >>> from flutils.validators import validate_identifier
        >>> validate_identifier('123')
        SyntaxError: The given 'identifier', '123', cannot start with a number
    """"""
    if isinstance(identifier, UserString):
        identifier = str(identifier)
    if not isinstance(identifier, str):
        raise TypeError(
            ""The given 'identifier' must be a 'str'.  Got: %r""
            % type(identifier).__name__
        )
    identifier = identifier.strip()
    if not identifier:
        raise SyntaxError(""The given 'identifier' cannot be empty"")

    if allow_underscore is False and identifier[0:1] == '_':
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with an ""
            ""underscore '_'""
        )

    if identifier[0:1].isdigit():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with a ""
            ""number""
        )

    if not identifier.isidentifier():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, is invalid.""
        )

    if keyword.iskeyword(identifier):
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a keyword""
        )

    if identifier in _BUILTIN_NAMES:
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a builtin name""
        )","from collections import UserString
from typing import Union
import keyword

# `_BUILTIN_NAMES` should contain all names you want to forbid
_BUILTIN_NAMES = {
    # … e.g. ""list"", ""dict"", ""int"", ""str"", ...
}


def validate_identifier(
    identifier: Union[str, UserString],
    allow_underscore: bool = True,
) -> None:
    """"""
    Validate that *identifier* is a legal Python identifier and, by default,
    a safe variable name.

    Beyond the rules enforced by :py:meth:`str.isidentifier`, this helper
    applies several extra safeguards that are often handy when generating
    code or accepting user-supplied identifiers:

    * Rejects empty or all-whitespace strings.
    * Optionally disallows a leading underscore (``_``) when
      *allow_underscore* is ``False``.  
      This is convenient when you want to forbid “private”-style names.
    * Rejects identifiers that start with a digit.
    * Rejects Python keywords (``for``, ``class``, …).
    * Rejects any name listed in the private set ``_BUILTIN_NAMES``
      to avoid shadowing built-ins such as ``list`` or ``dict``.

    Parameters
    ----------
    identifier : str | collections.UserString
        Candidate identifier to validate.
    allow_underscore : bool, default ``True``
        If ``False``, identifiers beginning with ``_`` are not allowed.

    Raises
    ------
    TypeError
        If *identifier* is not a string or :class:`collections.UserString`.
    SyntaxError
        If *identifier* is empty or violates any of the rules above.

    Returns
    -------
    None
        The function returns nothing; it raises an exception on failure.
    """"""
    if isinstance(identifier, UserString):
        identifier = str(identifier)
    if not isinstance(identifier, str):
        raise TypeError(
            ""The given 'identifier' must be a 'str'.  Got: %r""
            % type(identifier).__name__
        )
    identifier = identifier.strip()
    if not identifier:
        raise SyntaxError(""The given 'identifier' cannot be empty"")

    if allow_underscore is False and identifier[0:1] == ""_"":
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with an ""
            ""underscore '_'""
        )

    if identifier[0:1].isdigit():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with a ""
            ""number""
        )

    if not identifier.isidentifier():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, is invalid.""
        )

    if keyword.iskeyword(identifier):
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a keyword""
        )

    if identifier in _BUILTIN_NAMES:
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a builtin name""
        )"
o4-mini-high (thinking),0,"def get_graphql_response(
    *,
    settings: Settings,
    query: str,
    after: str | None = None,
) -> dict[str, Any]:
    """"""Make a GraphQL request to GitHub API.

    Args:
        settings: Configuration settings including API token
        query: GraphQL query string
        after: Cursor for pagination, if any

    Returns:
        Response data from GitHub API in JSON format

    Raises:
        RuntimeError: If the API request fails or returns errors
    """"""
    headers = {'Authorization': f'token {settings.input_token.get_secret_value()}'}
    variables = {'after': after}
    response = requests.post(
        github_graphql_url,
        headers=headers,
        timeout=settings.request_timeout,
        json={'query': query, 'variables': variables, 'operationName': 'Q'},
    )
    if response.status_code != 200:
        logging.error(f'Response was not 200, after: {after}')
        logging.error(response.text)
        raise RuntimeError(response.text)
    data = response.json()
    if 'errors' in data:
        logging.error(f'Errors in response, after: {after}')
        logging.error(data['errors'])
        logging.error(response.text)
        raise RuntimeError(response.text)
    return data","def get_graphql_response(
    *,
    settings: Settings,
    query: str,
    after: str | None = None,
) -> dict[str, Any]:
    """"""
    Send a GraphQL query to the GitHub API and return the parsed JSON response.

    This function constructs the HTTP headers using the provided settings (including
    the personal access token), sends a POST request with the given query and
    pagination cursor, and checks for both HTTP-level and GraphQL-level errors.

    Args:
        settings (Settings):
            Configuration object containing:
              - `input_token` (SecretStr): Your GitHub personal access token.
              - `request_timeout` (float): Timeout for the HTTP request in seconds.
        query (str): The GraphQL query string to execute.
        after (str | None, optional): A pagination cursor; only return results
            after this cursor. Defaults to `None` (no cursor).

    Returns:
        dict[str, Any]: The JSON-decoded response payload from GitHub, guaranteed
        not to contain an `""errors""` key.

    Raises:
        RuntimeError:
            - If the HTTP response status code is not 200.
            - If the JSON payload contains an `""errors""` field.
    """"""
    headers = {'Authorization': f'token {settings.input_token.get_secret_value()}'}
    variables = {'after': after}
    response = requests.post(
        github_graphql_url,
        headers=headers,
        timeout=settings.request_timeout,
        json={'query': query, 'variables': variables, 'operationName': 'Q'},
    )
    if response.status_code != 200:
        logging.error(f'Response was not 200, after: {after}')
        logging.error(response.text)
        raise RuntimeError(response.text)
    data = response.json()
    if 'errors' in data:
        logging.error(f'Errors in response, after: {after}')
        logging.error(data['errors'])
        logging.error(response.text)
        raise RuntimeError(response.text)
    return data"
